date,MACD,MACD_Signal,MACD_Hist
2016-04-20,0.0338,0.0378,-0.004
2016-04-19,0.0344,0.0389,-0.0045
2016-04-18,0.0346,0.04,-0.0054
2016-04-15,0.0374,0.0413,-0.0039
2016-04-14,0.0405,0.0423,-0.0018
2016-04-13,0.0397,0.0428,-0.003
2016-04-12,0.0423,0.0435,-0.0012
2016-04-11,0.0449,0.0438,0.0011
2016-04-08,0.0456,0.0436,0.002
2016-04-07,0.0468,0.0431,0.0037
2016-04-06,0.0476,0.0421,0.0055
2016-04-05,0.049,0.0408,0.0083
2016-04-04,0.0451,0.0387,0.0064
2016-04-01,0.0424,0.0371,0.0052
2016-03-31,0.0403,0.0358,0.0045
2016-03-30,0.0423,0.0347,0.0076
2016-03-29,0.036000000000000004,0.0328,0.0032
2016-03-28,0.0335,0.032,0.0015
2016-03-24,0.034,0.0316,0.0024
2016-03-23,0.0351,0.031,0.0041
2016-03-22,0.036000000000000004,0.03,0.006
2016-03-21,0.0345,0.0285,0.0061
2016-03-18,0.0302,0.0269,0.0032
2016-03-17,0.0324,0.0261,0.0062
2016-03-16,0.0306,0.0246,0.006
2016-03-15,0.0309,0.0231,0.0078
2016-03-14,0.0298,0.0211,0.0087
2016-03-11,0.0291,0.019,0.0101
2016-03-10,0.0256,0.0164,0.0092
2016-03-09,0.0209,0.0141,0.0067
2016-03-08,0.0176,0.0125,0.0051
2016-03-07,0.0161,0.0112,0.0049
2016-03-04,0.014,0.01,0.0041
2016-03-03,0.0143,0.0089,0.0053
2016-03-02,0.0194,0.0076,0.0118
2016-03-01,0.0121,0.0047,0.0074
2016-02-29,0.01,0.0028,0.0072
2016-02-26,0.0114,0.001,0.0104
2016-02-25,0.0079,-0.0016,0.0095
2016-02-24,0.0053,-0.004,0.0092
2016-02-23,0.0029,-0.0063,0.0092
2016-02-22,-0.0022,-0.0086,0.0064
2016-02-19,-0.0077,-0.0102,0.0025
2016-02-18,-0.0074,-0.0108,0.0034
2016-02-17,-0.009000000000000001,-0.0116,0.0026
2016-02-16,-0.016,-0.0123,-0.0037
2016-02-12,-0.0175,-0.0114,-0.0061
2016-02-11,-0.0141,-0.0098,-0.0043
2016-02-10,-0.0107,-0.0088,-0.0019
2016-02-09,-0.0081,-0.0083,0.0002
2016-02-08,-0.0037,-0.0083,0.0046
2016-02-05,0.001,-0.0095,0.0104
2016-02-04,0.0018,-0.0121,0.0139
2016-02-03,-0.0013,-0.0155,0.0143
2016-02-02,-0.0041,-0.0191,0.015
2016-02-01,-0.0076,-0.0229,0.0153
2016-01-29,-0.0112,-0.0267,0.0155
2016-01-28,-0.0134,-0.0306,0.0171
2016-01-27,-0.0252,-0.0348,0.0096
2016-01-26,-0.0358,-0.0372,0.0015
2016-01-25,-0.0386,-0.0376,-0.001
2016-01-22,-0.0396,-0.0374,-0.0022
2016-01-21,-0.0403,-0.0368,-0.0035
2016-01-20,-0.0406,-0.0359,-0.0047
2016-01-19,-0.0414,-0.0348,-0.0066
2016-01-15,-0.0398,-0.0331,-0.0067
2016-01-14,-0.0372,-0.0314,-0.0057
2016-01-13,-0.0353,-0.03,-0.0053
2016-01-12,-0.032,-0.0287,-0.0034
2016-01-11,-0.0298,-0.0278,-0.002
2016-01-08,-0.0317,-0.0273,-0.0043
2016-01-07,-0.0305,-0.0262,-0.0042
2016-01-06,-0.0224,-0.0252,0.0028
2016-01-05,-0.0159,-0.0259,0.01
2016-01-04,-0.0154,-0.0284,0.013
2015-12-31,-0.0177,-0.0316,0.0139
2015-12-30,-0.0234,-0.0351,0.0117
2015-12-29,-0.024,-0.038,0.014
2015-12-28,-0.0227,-0.0415,0.0189
2015-12-24,-0.0216,-0.0462,0.0247
2015-12-23,-0.0311,-0.0524,0.0213
2015-12-22,-0.0468,-0.0577,0.0109
2015-12-21,-0.0522,-0.0605,0.0083
2015-12-18,-0.055,-0.0625,0.0075
2015-12-17,-0.0619,-0.0644,0.0025
2015-12-16,-0.0616,-0.065,0.0034
2015-12-15,-0.0604,-0.0659,0.0055
2015-12-14,-0.062,-0.0673,0.0052
2015-12-11,-0.0622,-0.0686,0.0064
2015-12-10,-0.0615,-0.0702,0.0087
2015-12-09,-0.0628,-0.0724,0.0096
2015-12-08,-0.0635,-0.0748,0.0113
2015-12-07,-0.0604,-0.0776,0.0172
2015-12-04,-0.0658,-0.0819,0.0161
2015-12-03,-0.0717,-0.0859,0.0142
2015-12-02,-0.0772,-0.0895,0.0123
2015-12-01,-0.08199999999999999,-0.0926,0.0106
2015-11-30,-0.0863,-0.0952,0.0089
2015-11-27,-0.0902,-0.0974,0.0072
2015-11-25,-0.0949,-0.0992,0.0043
2015-11-24,-0.1026,-0.1003,-0.0023
2015-11-23,-0.112,-0.0997,-0.0122
2015-11-20,-0.1202,-0.0967,-0.0235
2015-11-19,-0.1259,-0.0908,-0.0351
2015-11-18,-0.1263,-0.08199999999999999,-0.0443
2015-11-17,-0.1158,-0.0709,-0.0449
2015-11-16,-0.1007,-0.0597,-0.041
2015-11-13,-0.0901,-0.0495,-0.0406
2015-11-12,-0.0814,-0.0393,-0.0421
2015-11-11,-0.0671,-0.0288,-0.0383
2015-11-10,-0.054000000000000006,-0.0192,-0.0348
2015-11-09,-0.0323,-0.0105,-0.0218
2015-11-06,-0.0195,-0.0051,-0.0145
2015-11-05,-0.009000000000000001,-0.0014,-0.0076
2015-11-04,-0.0005,0.0005,-0.001
2015-11-03,0.0001,0.0007,-0.0006
2015-11-02,0.0001,0.0009,-0.0007
2015-10-30,-0.0011,0.001,-0.0021
2015-10-29,-0.0037,0.0016,-0.0052
2015-10-28,-0.0059,0.0029,-0.0087
2015-10-27,-0.0035,0.0051,-0.0086
2015-10-26,0.0006,0.0072,-0.0066
2015-10-23,0.0048,0.0088,-0.0041
2015-10-22,0.0085,0.0099,-0.0013
2015-10-21,0.0116,0.0102,0.0015
2015-10-20,0.0124,0.0098,0.0026
2015-10-19,0.0132,0.0092,0.004
2015-10-16,0.0151,0.0082,0.0069
2015-10-15,0.0162,0.0065,0.0097
2015-10-14,0.0143,0.004,0.0103
2015-10-13,0.0118,0.0014,0.0103
2015-10-12,0.0063,-0.0011,0.0074
2015-10-09,0.0053,-0.003,0.0083
2015-10-08,0.0049,-0.0051,0.01
2015-10-07,0.0044,-0.0076,0.012
2015-10-06,-0.0003,-0.0106,0.0103
2015-10-05,-0.0084,-0.0131,0.0047
2015-10-02,-0.0177,-0.0143,-0.0033
2015-10-01,-0.022,-0.0135,-0.0086
2015-09-30,-0.0232,-0.0113,-0.0119
2015-09-29,-0.0183,-0.0084,-0.01
2015-09-28,-0.0159,-0.0059,-0.01
2015-09-25,-0.0074,-0.0034,-0.004
2015-09-24,-0.0026,-0.0024,-0.0002
2015-09-23,0.0015,-0.0023,0.0039
2015-09-22,0.0017,-0.0033,0.005
2015-09-21,0.006999999999999999,-0.0045,0.0115
2015-09-18,0.0014,-0.0074,0.0088
2015-09-17,0.0034,-0.0096,0.0131
2015-09-16,0.0008,-0.0129,0.0137
2015-09-15,-0.0045,-0.0163,0.0119
2015-09-14,-0.0102,-0.0193,0.0091
2015-09-11,-0.0102,-0.0216,0.0114
2015-09-10,-0.0121,-0.0244,0.0123
2015-09-09,-0.0154,-0.0275,0.0121
2015-09-08,-0.0214,-0.0305,0.0091
2015-09-04,-0.0247,-0.0328,0.0081
2015-09-03,-0.0275,-0.0348,0.0073
2015-09-02,-0.0317,-0.0366,0.0049
2015-09-01,-0.0346,-0.0378,0.0033
2015-08-31,-0.0387,-0.0387,-0.0001
2015-08-28,-0.0425,-0.0386,-0.0039
2015-08-27,-0.0446,-0.0377,-0.0069
2015-08-26,-0.0436,-0.0359,-0.0077
2015-08-25,-0.0417,-0.034,-0.0077
2015-08-24,-0.0377,-0.0321,-0.0056
2015-08-21,-0.0319,-0.0307,-0.0012
2015-08-20,-0.0293,-0.0304,0.0011
2015-08-19,-0.0265,-0.0307,0.0042
2015-08-18,-0.0265,-0.0317,0.0052
2015-08-17,-0.0273,-0.033,0.0057
2015-08-14,-0.0309,-0.0345,0.0036
2015-08-13,-0.032,-0.0354,0.0034
2015-08-12,-0.0339,-0.0362,0.0022
2015-08-11,-0.0309,-0.0368,0.0059
2015-08-10,-0.0336,-0.0382,0.0046
2015-08-07,-0.0386,-0.0394,0.0007
2015-08-06,-0.0364,-0.0396,0.0032
2015-08-05,-0.038,-0.0404,0.0023
2015-08-04,-0.0386,-0.041,0.0024
2015-08-03,-0.0347,-0.0415,0.0069
2015-07-31,-0.0393,-0.0433,0.0039
2015-07-30,-0.0437,-0.0443,0.0006
2015-07-29,-0.0476,-0.0444,-0.0032
2015-07-28,-0.0458,-0.0436,-0.0022
2015-07-27,-0.0438,-0.043,-0.0008
2015-07-24,-0.0417,-0.0428,0.0011
2015-07-23,-0.0415,-0.0431,0.0016
2015-07-22,-0.0406,-0.0435,0.003
2015-07-21,-0.0419,-0.0443,0.0024
2015-07-20,-0.0429,-0.0449,0.002
2015-07-17,-0.0446,-0.0454,0.0007
2015-07-16,-0.0472,-0.0455,-0.0016
2015-07-15,-0.0508,-0.0451,-0.0056
2015-07-14,-0.0516,-0.0437,-0.0079
2015-07-13,-0.0539,-0.0418,-0.0121
2015-07-10,-0.0571,-0.0387,-0.0184
2015-07-09,-0.0563,-0.0341,-0.0221
2015-07-08,-0.0523,-0.0286,-0.0237
2015-07-07,-0.0445,-0.0227,-0.0219
2015-07-06,-0.039,-0.0172,-0.0218
2015-07-02,-0.0355,-0.0118,-0.0237
2015-07-01,-0.0325,-0.0058,-0.0267
2015-06-30,-0.0272,0.0009,-0.0281
2015-06-29,-0.0201,0.0079,-0.0279
2015-06-26,-0.0066,0.0149,-0.0214
2015-06-25,0.0016,0.0202,-0.0186
2015-06-24,0.013,0.0249,-0.0118
2015-06-23,0.0213,0.0278,-0.0065
2015-06-22,0.0285,0.0294,-0.0009
2015-06-19,0.0312,0.0297,0.0015
2015-06-18,0.0433,0.0293,0.014
2015-06-17,0.0479,0.0258,0.0221
2015-06-16,0.0511,0.0203,0.0308
2015-06-15,0.0422,0.0126,0.0296
2015-06-12,0.016,0.0052,0.0108
2015-06-11,-0.0045,0.0025,-0.0069
2015-06-10,-0.0101,0.0042,-0.0144
2015-06-09,-0.004,0.0078,-0.0118
2015-06-08,0.0008,0.0108,-0.0099
2015-06-05,0.0029,0.0132,-0.0103
2015-06-04,0.0106,0.0158,-0.0052
2015-06-03,0.0132,0.0171,-0.004
2015-06-02,0.0172,0.0181,-0.0009
2015-06-01,0.014,0.0183,-0.0043
2015-05-29,0.0159,0.0194,-0.0035
2015-05-28,0.016,0.0203,-0.0043
2015-05-27,0.0209,0.0214,-0.0005
2015-05-26,0.0239,0.0215,0.0024
2015-05-22,0.0273,0.0209,0.0064
2015-05-21,0.0252,0.0193,0.0059
2015-05-20,0.0229,0.0178,0.0051
2015-05-19,0.0178,0.0165,0.0013
2015-05-18,0.0193,0.0162,0.003
2015-05-15,0.0208,0.0154,0.0053
2015-05-14,0.0214,0.0141,0.0073
2015-05-13,0.023,0.0123,0.0107
2015-05-12,0.0256,0.0096,0.016
2015-05-11,0.0235,0.0056,0.018000000000000002
2015-05-08,0.0175,0.0011,0.0164
2015-05-07,0.0166,-0.003,0.0196
2015-05-06,0.0153,-0.0079,0.0232
2015-05-05,0.0123,-0.0137,0.026
2015-05-04,0.0074,-0.0202,0.0276
2015-05-01,0.003,-0.0271,0.0301
2015-04-30,-0.0037,-0.0346,0.0309
2015-04-29,-0.0112,-0.0424,0.0312
2015-04-28,-0.0226,-0.0502,0.0276
2015-04-27,-0.0378,-0.0571,0.0193
2015-04-24,-0.0435,-0.0619,0.0184
2015-04-23,-0.048,-0.0665,0.0185
2015-04-22,-0.0613,-0.0711,0.0098
2015-04-21,-0.0654,-0.0736,0.0081
2015-04-20,-0.0694,-0.0756,0.0062
2015-04-17,-0.0715,-0.0772,0.0056
2015-04-16,-0.0731,-0.0786,0.0055
2015-04-15,-0.0721,-0.0799,0.0079
2015-04-14,-0.0717,-0.0819,0.0102
2015-04-13,-0.0722,-0.0844,0.0122
2015-04-10,-0.0749,-0.0875,0.0126
2015-04-09,-0.0783,-0.0906,0.0123
2015-04-08,-0.0815,-0.0937,0.0123
2015-04-07,-0.0863,-0.0968,0.0104
2015-04-06,-0.0893,-0.0994,0.0101
2015-04-02,-0.0938,-0.1019,0.0082
2015-04-01,-0.0971,-0.104,0.0069
2015-03-31,-0.103,-0.1057,0.0027
2015-03-30,-0.1091,-0.1063,-0.0027
2015-03-27,-0.1131,-0.1057,-0.0075
2015-03-26,-0.1137,-0.1038,-0.0099
2015-03-25,-0.1137,-0.1013,-0.0124
2015-03-24,-0.1162,-0.0982,-0.0179
2015-03-23,-0.1196,-0.0937,-0.0259
2015-03-20,-0.1193,-0.0872,-0.032
2015-03-19,-0.1161,-0.0792,-0.0369
2015-03-18,-0.1114,-0.07,-0.0413
2015-03-17,-0.1047,-0.0597,-0.045
2015-03-16,-0.0987,-0.0484,-0.0503
2015-03-13,-0.0887,-0.0359,-0.0528
2015-03-12,-0.0847,-0.0227,-0.0621
2015-03-11,-0.0713,-0.0071,-0.0642
2015-03-10,-0.0481,0.0089,-0.057
2015-03-09,-0.0168,0.0232,-0.0399
2015-03-06,0.0184,0.0331,-0.0147
2015-03-05,0.0437,0.0368,0.0069
2015-03-04,0.0407,0.0351,0.0056
2015-03-03,0.0394,0.0337,0.0057
2015-03-02,0.0391,0.0322,0.0069
2015-02-27,0.0342,0.0305,0.0037
2015-02-26,0.0335,0.0296,0.0039
2015-02-25,0.03,0.0286,0.0014
2015-02-24,0.0354,0.0283,0.0071
2015-02-23,0.0407,0.0265,0.0142
2015-02-20,0.0448,0.0229,0.0219
2015-02-19,0.0464,0.0175,0.029
2015-02-18,0.0386,0.0102,0.0284
2015-02-17,0.0362,0.0031,0.0331
2015-02-13,0.0245,-0.0052,0.0296
2015-02-12,0.0061,-0.0126,0.0187
2015-02-11,-0.0001,-0.0172,0.0171
2015-02-10,-0.006,-0.0215,0.0155
2015-02-09,-0.0156,-0.0254,0.0098
2015-02-06,-0.0173,-0.0278,0.0106
2015-02-05,-0.0187,-0.0305,0.0117
2015-02-04,-0.0218,-0.0334,0.0116
2015-02-03,-0.0244,-0.0363,0.0119
2015-02-02,-0.0254,-0.0393,0.0139
2015-01-30,-0.0303,-0.0427,0.0124
2015-01-29,-0.0331,-0.0458,0.0127
2015-01-28,-0.0352,-0.049,0.0139
2015-01-27,-0.0414,-0.0525,0.0111
2015-01-26,-0.0415,-0.0553,0.0138
2015-01-23,-0.0452,-0.0587,0.0135
2015-01-22,-0.0462,-0.0621,0.0159
2015-01-21,-0.0498,-0.0661,0.0162
2015-01-20,-0.0507,-0.0701,0.0194
2015-01-16,-0.0531,-0.075,0.0219
2015-01-15,-0.0544,-0.0805,0.0261
2015-01-14,-0.0501,-0.087,0.0368
2015-01-13,-0.0562,-0.0962,0.04
2015-01-12,-0.0621,-0.1062,0.0441
2015-01-09,-0.079,-0.1172,0.0382
2015-01-08,-0.0871,-0.1268,0.0397
2015-01-07,-0.0992,-0.1367,0.0375
2015-01-06,-0.1143,-0.1461,0.0318
2015-01-05,-0.1207,-0.154,0.0333
2015-01-02,-0.127,-0.1623,0.0353
2014-12-31,-0.1395,-0.1712,0.0317
2014-12-30,-0.1492,-0.1791,0.0299
2014-12-29,-0.1513,-0.1866,0.0353
2014-12-26,-0.166,-0.1954,0.0294
2014-12-24,-0.1773,-0.2027,0.0254
2014-12-23,-0.1862,-0.2091,0.0229
2014-12-22,-0.1977,-0.2148,0.0171
2014-12-19,-0.2035,-0.2191,0.0155
2014-12-18,-0.2049,-0.223,0.018000000000000002
2014-12-17,-0.2098,-0.2275,0.0176
2014-12-16,-0.211,-0.2319,0.0209
2014-12-15,-0.2084,-0.2371,0.0287
2014-12-12,-0.2092,-0.2443,0.0351
2014-12-11,-0.2122,-0.253,0.0408
2014-12-10,-0.2161,-0.2632,0.0472
2014-12-09,-0.2321,-0.275,0.0429
2014-12-08,-0.2421,-0.2858,0.0437
2014-12-05,-0.2533,-0.2967,0.0434
2014-12-04,-0.265,-0.3075,0.0425
2014-12-03,-0.2821,-0.3182,0.036000000000000004
2014-12-02,-0.2887,-0.3272,0.0385
2014-12-01,-0.3051,-0.3368,0.0317
2014-11-28,-0.3033,-0.3447,0.0414
2014-11-26,-0.3119,-0.3551,0.0432
2014-11-25,-0.3356,-0.3658,0.0303
2014-11-24,-0.3986,-0.3734,-0.0252
2014-11-21,-0.405,-0.3671,-0.0379
2014-11-20,-0.4083,-0.3577,-0.0507
2014-11-19,-0.4138,-0.345,-0.0688
2014-11-18,-0.4137,-0.3278,-0.0859
2014-11-17,-0.4055,-0.3063,-0.0992
2014-11-14,-0.3973,-0.2815,-0.1159
2014-11-13,-0.3923,-0.2525,-0.1398
2014-11-12,-0.3751,-0.2176,-0.1575
2014-11-11,-0.3609,-0.1782,-0.1827
2014-11-10,-0.3447,-0.1325,-0.2122
2014-11-07,-0.32299999999999995,-0.0795,-0.2436
2014-11-06,-0.306,-0.0186,-0.2874
2014-11-05,-0.2614,0.0533,-0.3147
2014-11-04,-0.2089,0.1319,-0.3408
2014-11-03,-0.1316,0.2172,-0.3488
2014-10-31,-0.0536,0.3044,-0.3579
2014-10-30,0.0407,0.3938,-0.3531
2014-10-29,0.1218,0.4821,-0.3603
2014-10-28,0.244,0.5722,-0.3282
2014-10-27,0.3627,0.6542,-0.2916
2014-10-24,0.4661,0.7271,-0.261
2014-10-23,0.5446,0.7924,-0.2478
2014-10-22,0.6531,0.8543,-0.2012
2014-10-21,0.8126,0.9046,-0.092
2014-10-20,0.9637,0.9276,0.0361
2014-10-17,1.17,0.9186,0.2514
2014-10-16,1.3023,0.8558,0.4465
2014-10-15,1.3218,0.7442,0.5777
2014-10-14,1.1707,0.5997,0.5710000000000001
2014-10-13,1.0637,0.457,0.6067
2014-10-10,0.6378,0.3053,0.3325
2014-10-09,0.3516,0.2222,0.1294
2014-10-08,0.2449,0.1898,0.0551
2014-10-07,0.2121,0.1761,0.036000000000000004
2014-10-06,0.1966,0.1671,0.0295
2014-10-03,0.2097,0.1597,0.05
2014-10-02,0.2141,0.1472,0.0669
2014-10-01,0.1902,0.1305,0.0597
2014-09-30,0.1477,0.1155,0.0322
2014-09-29,0.126,0.1075,0.0185
2014-09-26,0.1202,0.1028,0.0173
2014-09-25,0.1209,0.0985,0.0224
2014-09-24,0.1159,0.0929,0.023
2014-09-23,0.0916,0.0872,0.0045
2014-09-22,0.0827,0.086,-0.0034
2014-09-19,0.0853,0.0869,-0.0015
2014-09-18,0.0834,0.0873,-0.0038
2014-09-17,0.0788,0.0882,-0.0095
2014-09-16,0.0768,0.0906,-0.0138
2014-09-15,0.0772,0.094,-0.0169
2014-09-12,0.0714,0.0983,-0.0268
2014-09-11,0.0753,0.105,-0.0297
2014-09-10,0.0761,0.1124,-0.0363
2014-09-09,0.0883,0.1215,-0.0332
2014-09-08,0.1045,0.1298,-0.0252
2014-09-05,0.1166,0.1361,-0.0194
2014-09-04,0.134,0.1409,-0.0069
2014-09-03,0.1506,0.1427,0.008
2014-09-02,0.1595,0.1407,0.0188
2014-08-29,0.1582,0.136,0.0223
2014-08-28,0.1635,0.1304,0.0331
2014-08-27,0.1607,0.1221,0.0386
2014-08-26,0.1406,0.1125,0.0281
2014-08-25,0.1312,0.1054,0.0257
2014-08-22,0.1366,0.099,0.0375
2014-08-21,0.1364,0.0896,0.0468
2014-08-20,0.125,0.0779,0.0471
2014-08-19,0.1128,0.0662,0.0466
2014-08-18,0.0976,0.0545,0.0431
2014-08-15,0.0676,0.0437,0.0238
2014-08-14,0.067,0.0378,0.0292
2014-08-13,0.0662,0.0305,0.0357
2014-08-12,0.0613,0.0216,0.0397
2014-08-11,0.0541,0.0116,0.0424
2014-08-08,0.037000000000000005,0.001,0.0359
2014-08-07,0.0115,-0.008,0.0195
2014-08-06,0.0013,-0.0128,0.0141
2014-08-05,-0.0138,-0.0164,0.0026
2014-08-04,-0.0141,-0.017,0.003
2014-08-01,-0.0178,-0.0178,0.0
2014-07-31,-0.0181,-0.0178,-0.0004
2014-07-30,-0.0163,-0.0177,0.0014
2014-07-29,-0.0178,-0.018000000000000002,0.0003
2014-07-28,-0.0194,-0.0181,-0.0013
2014-07-25,-0.0162,-0.0178,0.0016
2014-07-24,-0.0148,-0.0182,0.0034
2014-07-23,-0.0108,-0.019,0.0082
2014-07-22,-0.0148,-0.021,0.0063
2014-07-21,-0.0155,-0.0226,0.0071
2014-07-18,-0.0203,-0.0244,0.0041
2014-07-17,-0.023,-0.0254,0.0024
2014-07-16,-0.0224,-0.026,0.0036
2014-07-15,-0.0251,-0.0269,0.0018
2014-07-14,-0.0251,-0.0273,0.0022
2014-07-11,-0.0278,-0.0279,0.0001
2014-07-10,-0.0308,-0.0279,-0.0029
2014-07-09,-0.0302,-0.0272,-0.003
2014-07-08,-0.033,-0.0265,-0.0065
2014-07-07,-0.0351,-0.0248,-0.0103
2014-07-03,-0.0338,-0.0223,-0.0116
2014-07-02,-0.0321,-0.0194,-0.0127
2014-07-01,-0.0304,-0.0162,-0.0142
2014-06-30,-0.0248,-0.0126,-0.0122
2014-06-27,-0.0264,-0.0096,-0.0168
2014-06-26,-0.0281,-0.0054,-0.0227
2014-06-25,-0.0248,0.0003,-0.0251
2014-06-24,-0.0196,0.0066,-0.0262
2014-06-23,-0.0153,0.0131,-0.0285
2014-06-20,-0.0015,0.0202,-0.0217
2014-06-19,0.0081,0.0257,-0.0176
2014-06-18,0.0181,0.0301,-0.0119
2014-06-17,0.0225,0.0331,-0.0105
2014-06-16,0.0268,0.0357,-0.0088
2014-06-13,0.0268,0.0379,-0.0111
2014-06-12,0.0285,0.0407,-0.0122
2014-06-11,0.0383,0.0437,-0.0054
2014-06-10,0.0442,0.045,-0.0009
2014-06-09,0.0449,0.0453,-0.0003
2014-06-06,0.0493,0.0453,0.004
2014-06-05,0.0521,0.0444,0.0078
2014-06-04,0.053,0.0424,0.0105
2014-06-03,0.0532,0.0398,0.0135
2014-06-02,0.0528,0.0364,0.0164
2014-05-30,0.0505,0.0323,0.0182
2014-05-29,0.0468,0.0278,0.019
2014-05-28,0.0434,0.023,0.0204
2014-05-27,0.0375,0.0179,0.0195
2014-05-23,0.0344,0.013,0.0214
2014-05-22,0.0321,0.0077,0.0244
2014-05-21,0.0265,0.0016,0.025
2014-05-20,0.0191,-0.0046,0.0238
2014-05-19,0.0124,-0.0106,0.023
2014-05-16,0.0052,-0.0163,0.0216
2014-05-15,-0.0015,-0.0217,0.0202
2014-05-14,-0.01,-0.0268,0.0168
2014-05-13,-0.0198,-0.031,0.0112
2014-05-12,-0.0248,-0.0338,0.009000000000000001
2014-05-09,-0.0268,-0.036000000000000004,0.0092
2014-05-08,-0.032,-0.0383,0.0063
2014-05-07,-0.0321,-0.0399,0.0078
2014-05-06,-0.0287,-0.0419,0.0132
2014-05-05,-0.0386,-0.0452,0.0065
2014-05-02,-0.0462,-0.0468,0.0006
2014-05-01,-0.0511,-0.0469,-0.0042
2014-04-30,-0.0465,-0.0459,-0.0006
2014-04-29,-0.0521,-0.0458,-0.0063
2014-04-28,-0.0544,-0.0442,-0.0102
2014-04-25,-0.0535,-0.0416,-0.0119
2014-04-24,-0.0547,-0.0387,-0.016
2014-04-23,-0.0544,-0.0346,-0.0197
2014-04-22,-0.0501,-0.0297,-0.0204
2014-04-21,-0.045,-0.0246,-0.0204
2014-04-17,-0.0388,-0.0195,-0.0192
2014-04-16,-0.0354,-0.0147,-0.0207
2014-04-15,-0.0254,-0.0095,-0.0159
2014-04-14,-0.0215,-0.0056,-0.016
2014-04-11,-0.0122,-0.0016,-0.0106
2014-04-10,-0.0062,0.0011,-0.0073
2014-04-09,-0.0015,0.0029,-0.0044
2014-04-08,-0.0016,0.004,-0.0056
2014-04-07,0.0044,0.0054,-0.0009
2014-04-04,0.0087,0.0056,0.0031
2014-04-03,0.0123,0.0048,0.0075
2014-04-02,0.0086,0.003,0.0056
2014-04-01,0.0077,0.0016,0.0061
2014-03-31,0.0045,0.0,0.0045
2014-03-28,0.0013,-0.0011,0.0024
2014-03-27,0.0013,-0.0017,0.003
2014-03-26,0.0024,-0.0024,0.0048
2014-03-25,0.0047,-0.0036,0.0083
2014-03-24,0.0004,-0.0057,0.0061
2014-03-21,0.0,-0.0072,0.0072
2014-03-20,-0.0137,-0.009000000000000001,-0.0047
2014-03-19,-0.0127,-0.0079,-0.0048
2014-03-18,-0.0163,-0.0067,-0.0096
2014-03-17,-0.0227,-0.0043,-0.0184
2014-03-14,-0.0264,0.0003,-0.0267
2014-03-13,-0.0196,0.006999999999999999,-0.0266
2014-03-12,-0.0106,0.0137,-0.0243
2014-03-11,0.001,0.0198,-0.0188
2014-03-10,0.0178,0.0245,-0.0067
2014-03-07,0.0257,0.0261,-0.0004
2014-03-06,0.0315,0.0262,0.0052
2014-03-05,0.0404,0.0249,0.0154
2014-03-04,0.0379,0.0211,0.0168
2014-03-03,0.0342,0.0169,0.0173
2014-02-28,0.0269,0.0125,0.0144
2014-02-27,0.0203,0.0089,0.0114
2014-02-26,0.0111,0.0061,0.005
2014-02-25,0.0078,0.0049,0.0029
2014-02-24,0.0055,0.0041,0.0014
2014-02-21,-0.0006,0.0038,-0.0044
2014-02-20,0.0009,0.0049,-0.004
2014-02-19,-0.0014,0.0059,-0.0072
2014-02-18,0.0029,0.0077,-0.0048
2014-02-14,0.0032,0.0089,-0.0057
2014-02-13,0.0036,0.0103,-0.0067
2014-02-12,0.002,0.012,-0.01
2014-02-11,-0.0042,0.0145,-0.0186
2014-02-10,-0.012,0.0191,-0.0311
2014-02-07,-0.0085,0.0269,-0.0354
2014-02-06,0.0001,0.0358,-0.0357
2014-02-05,0.0182,0.0447,-0.0265
2014-02-04,0.0369,0.0513,-0.0144
2014-02-03,0.0481,0.0549,-0.0068
2014-01-31,0.0546,0.0566,-0.002
2014-01-30,0.06,0.0571,0.0029
2014-01-29,0.063,0.0563,0.0067
2014-01-28,0.0629,0.0547,0.0082
2014-01-27,0.0597,0.0526,0.0071
2014-01-24,0.063,0.0509,0.0121
2014-01-23,0.0632,0.0478,0.0154
2014-01-22,0.0554,0.044,0.0114
2014-01-21,0.0385,0.0411,-0.0026
2014-01-17,0.0358,0.0418,-0.006
2014-01-16,0.0339,0.0433,-0.0093
2014-01-15,0.032,0.0456,-0.0136
2014-01-14,0.029,0.049,-0.02
2014-01-13,0.0248,0.054000000000000006,-0.0293
2014-01-10,0.0312,0.0613,-0.0301
2014-01-09,0.04,0.0689,-0.0288
2014-01-08,0.0538,0.0761,-0.0223
2014-01-07,0.0644,0.0816,-0.0172
2014-01-06,0.0699,0.0859,-0.016
2014-01-03,0.078,0.0899,-0.012
2014-01-02,0.08199999999999999,0.0929,-0.0109
2013-12-31,0.08800000000000001,0.0957,-0.0077
2013-12-30,0.0964,0.0976,-0.0011
2013-12-27,0.1038,0.0979,0.0059
2013-12-26,0.1014,0.0964,0.005
2013-12-24,0.101,0.0952,0.0058
2013-12-23,0.0949,0.0937,0.0012
2013-12-20,0.0909,0.0934,-0.0025
2013-12-19,0.0845,0.094,-0.0096
2013-12-18,0.0791,0.0964,-0.0173
2013-12-17,0.0873,0.1007,-0.0134
2013-12-16,0.0966,0.1041,-0.0075
2013-12-13,0.1029,0.106,-0.0031
2013-12-12,0.1044,0.1067,-0.0024
2013-12-11,0.1058,0.1073,-0.0015
2013-12-10,0.1152,0.1077,0.0075
2013-12-09,0.1134,0.1058,0.0075
2013-12-06,0.1073,0.104,0.0034
2013-12-05,0.1072,0.1031,0.0041
2013-12-04,0.1095,0.1021,0.0074
